Partner University,Country,Continent,City
Aalto University,Finland,Europe,Espoo
"Aalto University, Helsinki",Finland,Europe,Helsinki
"Aalto University, Mikkeli",Finland,Europe,Mikkeli
Aarhus School of Business,Denmark,Europe,Aarhus
Aarhus University,Denmark,Europe,Aarhus
Amsterdam University College,Netherlands,Europe,Amsterdam
Arizona State University,United States of America,North America,Tempe
Athens University of Economics & Business,Greece,Europe,Athens
BI Norwegian Business School,Norway,Europe,Oslo
Beihang University,China,Asia,Beijing
Bilkent University,Turkey,Asia,Ankara
"Bogazici University, Turkey",Turkey,Asia,Istanbul
"Boston College, Massachusetts",United States of America,North America,Boston
Boston University,United States of America,North America,Boston
Brandeis University,United States of America,North America,Waltham
Bremen University of Applied Sciences,Germany,Europe,Bremen
Budapest University of Technology and Economics,Hungary,Europe,Budapest
"California Poly State Uni, SLO",United States of America,North America,San Luis Obispo
California State University East bay,United States of America,North America,Hayward
Carnegie Mellon University,United States of America,North America,Pittsburgh
Case Western Reserve University,United States of America,North America,Cleveland
Catholic University of Portugal,Portugal,Europe,Lisbon
Central University of Finance & Economics,China,Asia,Beijing
CentraleSupelec - Ecole Centrale Paris,France,Europe,Paris
Chalmers University of Technology,Sweden,Europe,Gothenburg
Chang Gung University,Taiwan,Asia,Guishan
Charles University in Prague,Czech Republic,Europe,Prague
Chongqing University,China,Asia,Chongqing
Chulalongkorn University,Thailand,Asia,Pathum Wan
City University of Hong Kong,Hong Kong,Asia,Kowloon
"City, University of London",United Kingdom,Europe,London
Clarkson University,United States of America,North America,Potsdam
Colgate University,United States of America,North America,Hamilton Village
Columbia University,United States of America,North America,New York City
Concordia University,Canada,North America,Montreal
Copenhagen Business School,Denmark,Europe,Frederiksberg
Cornell University,United States of America,North America,Ithaca
Cornell Univ Coll of Agriculture & Life Sciences,United States of America,North America,Ithaca
Cornell Univ Coll of Human Ecology,United States of America,North America,Ithaca
Corvinus University of Budapest,Hungary,Europe,Budapest
Cracow University of Technology,Poland,Europe,Kraków
Czech Technical University,Czech Republic,Europe,Prague
Dalhousie University,Canada,North America,Halifax
Delft University of Technology,Netherlands,Europe,Delft
Dresden University of Technology,Germany,Europe,Dresden
Duke University,United States of America,North America,Durham
Durham University,United Kingdom,Europe,Durham
ESSEC Business School,Singapore,Asia,Paris
ETH Zurich,Switzerland,Europe,Zurich
Eckerd College,United States of America,North America,St. Petersburg
"Ecole Centrale Des Arts Et Manufactures, Paris",France,Europe,Paris
Ecole Polytechnique Federale de Lausanne,Switzerland,Europe,Lausanne
"Ecole Speciale D'Architecture, Paris",France,Europe,Paris
Eindhoven University of Technology,Netherlands,Europe,Eindhoven
Emory University,United States of America,North America,Atlanta
Erasmus University,Netherlands,Europe,Rotterdam
Esc. Sup. De Admin. Y Dir. De Empresas,Spain,Europe,Barcelona
European Business School,UNKNOWN,Europe,CITY UNKNOWN
"Ewha Women's University,Seoul",South Korea,Asia,Seoul
Free University of Berlin,Germany,Europe,Berlin
Free University of Brussels,Belgium,Europe,Brussels
Fudan University,China,Asia,Yangpu District
Georg-August-University,Germany,Europe,Göttingen
Georgetown University,United States of America,North America,"Washington, D.C."
Georgetown University Law Center,United States of America,North America,"Washington, D.C."
"Georgetown University, Washington D.C.",United States of America,North America,"Washington, D.C."
Georgia Institute of Technology,United States of America,North America,Atlanta
Gottingen University,Germany,Europe,Göttingen
